Quantity_tonne_per_hr_z1,Quantity_tonne_per_hr_z2,Quantity_tonne_per_hr_z3
6.027496918,0.006210046,0.410511416
8.405853653,0.028682534,0.538925685
13.18493596,0.060164726,0.792440297
16.16394007,6.450846233,0.874977511
21.87412945,7.896438927,1.649398402
21.95428482,10.95818744,1.757204224
29.19395046,15.77372283,1.802770548
37.56304041,15.95723094,1.967327283
47.71615674,17.20015685,2.008647717
47.88972317,23.13527842,2.038990753
50.5205589,24.48424966,2.079275571
55.53679338,24.52670925,2.234408333
60.65172043,26.41491689,3.843211416
67.84333425,32.62436861,8.724610959
69.68400799,32.66921005,10.2045855
71.67587911,32.68474406,10.86954361
74.49312272,32.84474406,12.75785491
74.53993185,32.88161142,14.10330514
74.61377009,32.96601279,15.2743605
76.66487751,33.90664737,29.63356221
86.01519749,36.54442169,29.68482432
89.78291381,41.79956895,30.42828082
91.21110845,42.43956918,31.35752386
94.22211256,42.47322614,33.48940799
112.1643833,42.48575685,34.20500696
114.9597758,42.49196689,35.00158973
114.9611228,46.10092591,36.12024384
120.71139,46.12039521,36.38328596
123.3157144,46.47746975,36.43744783
124.4573588,50.81352283,43.92027215
132.6608564,51.48169132,44.31027877
133.9889086,52.50051358,45.6297355
136.1460613,53.42882454,46.8396258
155.6135623,57.13689041,48.17782683
155.7088374,65.70367614,54.53599053
156.0992582,65.71455514,54.57503265
160.8046059,65.73433505,54.71204235
163.9769564,66.84149395,57.33738938
178.9700483,77.65097295,59.43427032
181.2727027,77.66847454,60.97783071
184.7684708,81.4540032,61.04152009
200.7679578,81.49118116,61.37860753
206.005707,81.50557603,61.43784384
207.3376944,81.54254692,61.46041986
209.9470933,81.72854053,68.7550758
212.9715602,82.08633995,79.41190753
232.3070223,82.55670902,79.89480731
234.9926412,91.25128767,81.37706016
240.7219893,92.51140457,81.41703425
242.8669219,94.17395525,81.4209726
247.7154929,100.9959638,87.62628196
259.6089334,101.1178538,89.81584897
268.22636,111.4374944,91.0955387
285.773757,112.6938831,101.222558
304.3461897,113.2195532,103.5445781
305.0902676,113.6871261,106.5360094
306.2893877,114.9112042,107.1012393
306.3244945,114.9843175,108.2607995
326.9029862,115.3063888,108.8813305
351.2248576,116.7373796,112.6135258
357.2967818,119.1340663,117.3610224
361.9508674,120.8912708,124.4650245
364.1465444,128.4606711,125.5934132
385.1789392,128.4670866,125.6298663
387.536791,129.3309833,125.6675621
389.0796264,130.0388153,130.6159648
391.6752517,130.8403689,138.5236954
395.0011815,131.811243,140.4842914
395.0801977,147.2554419,141.2276444
433.6043776,147.267662,142.5028811
438.9968453,148.0099793,143.170221
439.3812597,148.0751185,150.4719189
447.767437,162.099304,150.9930324
449.3476575,165.31225,151.6195699
453.7550634,168.1993965,151.7560618
453.8861702,168.7938303,152.2121396
482.1450784,168.9322898,152.2529422
490.5886279,168.9775455,161.4670809
490.9195017,169.0011572,161.8802849
493.1775218,180.6233743,161.9481167
493.7726806,183.6998283,
502.2136411,199.9929076,
506.5042314,200.7201053,
507.1958045,200.7314979,
507.2759598,206.8233056,
508.8208664,209.1356946,
515.4434186,210.2685364,
517.4809597,210.28086,
523.3058935,210.3077856,
556.1224729,213.7571588,
561.1840667,218.0714643,
588.1962172,218.0987006,
592.0131245,218.6587525,
594.7335396,219.1753092,
606.3692195,219.8527982,
606.5471354,220.6430638,
615.0416363,221.2178212,
617.526349,221.2363584,
617.5837211,221.2704297,
621.2676575,230.8639083,
626.09707,232.1671062,
626.3849666,233.1610741,
639.5590288,235.7776186,
646.4847008,238.4300984,
652.7636412,238.5275483,
661.9024919,240.0675876,
676.9967619,240.5155877,
686.1877032,247.115046,
688.2816844,252.499436,
692.3655691,252.5256366,
701.8033971,252.5404457,
719.8899268,255.9887832,
721.9420699,261.80595,
723.1313518,261.8574193,
725.9508737,268.4964374,
740.4374542,275.2406725,
752.8468301,276.6832619,
784.30605,279.8195735,
790.3603689,283.5652316,
792.2570686,284.144235,
792.8508811,286.9648961,
794.1673345,291.9248976,
796.298908,308.3258864,
805.1879721,310.378133,
810.6066404,316.0455522,
814.856221,322.9388099,
825.0598745,323.4740075,
825.9011952,323.7074315,
828.8620764,326.0396005,
836.4086935,328.5106433,
839.8307269,328.5860348,
847.4405156,332.6172075,
868.4516806,332.8024761,
877.361871,333.2380491,
891.6063284,339.6437468,
893.9258631,343.4201622,
901.4985774,352.9596861,
901.5276777,353.0459515,
903.932235,355.4875833,
906.6558605,357.0093961,
909.746088,364.2254501,
916.0028666,364.2682203,
922.0356451,364.2753664,
937.1641934,365.0589007,
937.2215655,380.0010411,
940.87723,399.9428465,
941.0062656,400.1078174,
947.846915,410.2083252,
948.1521059,412.9742031,
948.4175299,416.0618416,
964.7134054,416.0869031,
977.6688526,416.1435503,
982.0973847,416.3506701,
985.2562724,426.0314497,
1006.583295,437.989408,
1009.515904,456.5476531,
1022.009682,458.6763268,
1023.647585,463.7306713,
1030.045723,464.8841216,
1034.976728,464.9640699,
1035.076352,473.3281889,
1037.874437,475.2023124,
1040.835111,477.1771998,
1053.512811,480.7620293,
1058.356307,488.6794945,
1058.436566,490.6645307,
1063.589811,490.7012945,
1067.144504,491.9955862,
1090.427773,495.7714838,
1107.542497,495.7783217,
1107.597694,495.8141534,
1110.563961,518.3936295,
1111.249113,518.6021991,
1112.665191,518.6106922,
1116.843522,518.6337861,
1122.00878,518.8937215,
1125.117337,520.011547,
1129.295669,520.5579291,
1131.064472,521.2295151,
1139.552448,529.6545273,
1139.644203,539.4467373,
1157.06826,542.0713595,
1172.23119,551.4068704,
1180.539697,553.8041787,
1184.980656,554.584399,
1202.027962,554.5984831,
1210.163836,554.6060402,
1213.96583,557.1900669,
1234.331092,559.4576145,
1271.192721,568.5536949,
1271.583763,568.5637405,
1274.701641,568.5833134,
1278.847144,569.4521809,
1285.52914,576.5544226,
1291.168391,587.5433709,
1291.344546,588.8043162,
1295.127279,588.9508534,
1301.246115,588.9917596,
1304.402828,590.0399929,
1308.831257,593.5547124,
1310.846118,594.8452759,
1313.126196,599.3572773,
1314.959725,603.1271684,
1321.464115,603.6046831,
1325.759158,604.9588324,
1326.926175,610.5458892,
1332.247497,610.9430413,
1334.743705,628.7727425,
1339.240897,644.1409283,
1364.563571,644.1636079,
1364.944154,644.4747018,
1366.079274,645.8242945,
1367.860194,645.8364111,
1382.944625,648.6220688,
1423.392223,648.6330506,
1438.087995,652.4619708,
1438.094102,652.5371553,
1444.630492,653.767654,
1445.006001,654.9273178,
1447.423399,656.989299,
1450.581873,657.4972603,
1457.344024,663.3324465,
1479.49994,664.4239678,
1480.395008,664.6014695,
1481.825688,680.3011507,
1486.424058,685.2516247,
1492.566507,685.2638447,
1496.904113,686.792596,
1503.329902,687.4237936,
1510.331172,692.7528826,
1510.510745,693.1990187,
1518.484236,700.5716553,
1537.679893,703.95009,
1542.918988,704.1923166,
1550.110809,708.3039554,
1575.616163,708.370855,
1580.927543,710.8685128,
1592.769722,712.8301444,
1597.622124,712.9287334,
1609.9413,731.6567132,
1613.241754,744.1006782,
1632.050407,746.6519799,
1663.856552,753.0705191,
1696.987022,754.6496005,
1698.445559,758.1828572,
1715.818976,778.2253228,
1734.876172,780.4901779,
1735.475784,787.34429,
1741.836537,799.1971349,
1745.121768,799.4251739,
1750.268073,799.4556204,
1761.486303,820.6712126,
1777.930166,827.8843669,
1786.686466,845.3202298,
1801.64238,846.5189356,
1827.784006,847.3561138,
1847.51807,872.3342443,
1855.221374,885.0445653,
1862.382541,887.560346,
1864.592199,887.5701862,
1864.71937,896.8637554,
1905.121712,896.8691435,
1908.984911,897.0228264,
1912.678996,910.7987788,
1918.274648,911.1668307,
1918.460331,933.7056078,
1920.486481,934.5516921,
1920.508435,940.7616616,
1925.241848,947.3940519,
1928.267247,964.8140701,
1929.385279,973.8400404,
1937.308958,976.9852582,
1942.927704,978.772495,
1949.31445,993.2223116,
1956.886129,1002.389124,
1991.286243,1002.605046,
2006.70973,1018.06074,
2009.595427,1020.615355,
2013.628567,1022.168961,
2029.256481,1023.21823,
2030.695757,1029.296782,
2034.466787,1041.046999,
2049.767038,1060.35129,
2056.513758,1060.369723,
2059.822704,1072.387125,
2066.313735,1072.388986,
2081.218594,1073.529595,
2089.665768,1073.659355,
2091.497121,1078.560431,
2091.656293,1079.768043,
2100.74761,1079.773842,
2121.802477,1080.854283,
2124.449779,1080.887215,
2129.221094,1085.693637,
2133.770791,1086.268601,
2139.550676,1097.758365,
2154.86615,1098.372786,
2163.783797,1098.378585,
2178.395996,1110.973334,
2186.957603,1126.327953,
2192.392427,1126.448704,
2193.306964,1126.475629,
2206.796884,1136.160137,
2209.773092,1149.175131,
2215.627644,1150.360892,
2219.396189,1150.366486,
2224.805951,1150.822978,
2225.768748,1150.960713,
2228.281939,1150.99613,
2232.965436,1150.999966,
2245.632573,1151.024302,
2253.199073,1169.924399,
2259.498519,1173.65328,
2262.210028,1173.658976,
2268.269421,1176.217113,
2284.743005,1176.67112,
2290.668496,1178.017191,
2294.819798,1178.080984,
2296.510827,1178.624777,
2306.799918,1179.293153,
2313.998884,1179.945994,
2335.879331,1180.027082,
2343.75734,1180.040959,
2348.661523,1180.521995,
2354.11302,1180.599043,
2363.175547,1181.415406,
2384.397352,1181.42804,
2404.094032,1188.288262,
2404.81864,1188.295511,
2412.659885,1188.323058,
2414.809892,1188.337039,
2420.074981,1188.341799,
2423.220613,1188.376284,
2428.295877,1188.389644,
2438.165757,1188.510912,
2457.654902,1196.24839,
2465.119811,1197.010591,
2470.641728,1197.443161,
2485.355105,1198.288106,
2486.564167,1198.821336,
2491.497967,1200.822321,
2508.036173,1200.869337,
2520.383102,1212.76112,
2520.384138,1212.938726,
2540.608558,1213.274881,
2546.353751,1213.295593,
2556.862802,1213.29984,
2567.779777,1214.371581,
2572.564865,1214.414455,
2594.299396,1224.748387,
2614.57425,1225.417901,
2642.456304,1225.430639,
2677.134891,1226.164361,
2680.564795,1228.443093,
2683.5002,1228.466498,
2697.724877,1228.486174,
2704.875896,1228.519935,
2708.119185,1228.523245,
2713.592843,,
2716.342151,,
2756.026927,,
2756.114539,,
2756.236636,,
2761.841712,,
2762.021389,,
2776.351386,,
2790.087261,,
2791.937152,,
2800.049724,,
2801.191057,,
2824.905653,,
2842.416597,,
2849.456599,,
2858.240654,,
2904.588681,,
2914.029719,,
2914.086884,,
2920.945139,,
2924.337036,,
2932.340042,,
2950.414559,,
2951.407388,,
2965.965631,,
2972.688947,,
2981.250659,,
2981.268575,,
2984.730582,,
2985.035462,,
2985.159941,,
3006.243909,,
3022.8777,,
3037.313329,,
3054.868183,,
3056.075173,,
3066.838257,,
3096.573101,,
3110.231824,,
3116.127593,,
3125.365032,,
3125.606534,,
3133.836129,,
3137.139068,,
3137.60281,,
3142.974669,,
3155.368407,,
3164.450818,,
3174.718782,,
3175.720103,,
3193.218412,,
3195.890672,,
3205.800008,,
3206.487646,,
3218.9371,,
3219.763611,,
3222.045554,,
3247.631684,,
3265.579029,,
3276.080004,,
3276.551822,,
3279.450568,,
3287.299994,,
3305.05099,,
3313.737284,,
3351.018227,,
3354.704545,,
3373.959955,,
3393.271702,,
3422.833808,,
3431.670782,,
3469.848036,,
3486.80597,,
3501.849081,,
3533.55322,,
3549.723788,,
3556.0368,,
3556.10515,,
3558.52348,,
3566.859845,,
3572.87564,,
3581.08152,,
3585.925534,,
3591.291387,,
3593.262028,,
3600.182315,,
3608.555547,,
3612.334241,,
3615.260222,,
3620.444017,,
3621.323137,,
3649.03732,,
3674.335243,,
3676.464124,,
3679.270805,,
3686.660425,,
3693.666356,,
3703.227731,,
3741.725918,,
3744.693841,,
3744.868029,,
3771.598807,,
3774.318911,,
3776.384931,,
3782.407872,,
3782.690797,,
3790.633738,,
3795.327487,,
3806.964824,,
3813.637396,,
3822.254718,,
3823.276026,,
3829.263653,,
3848.879659,,
3850.837251,,
3850.838804,,
3861.263247,,
3871.171651,,
3871.266305,,
3877.502268,,
3889.533029,,
3919.414928,,
3925.48126,,
3925.634218,,
3925.736018,,
3927.842633,,
3934.135865,,
3940.415323,,
3943.586431,,
3943.77491,,
3954.850538,,
3958.255484,,
3962.127588,,
3982.305407,,
3983.271517,,
3988.192787,,
3988.477059,,
3996.873696,,
4002.849827,,
4013.50583,,
4020.592227,,
4020.665548,,
4024.395361,,
4033.195467,,
4043.999458,,
4055.574037,,
4058.014841,,
4058.353481,,
4059.666,,
4081.430149,,
4092.492624,,
4119.974419,,
4139.858542,,
4140.385765,,
4141.859837,,
4157.501317,,
4159.950612,,
4166.725294,,
4166.875456,,
4169.036647,,
4171.872739,,
4189.479165,,
4190.437715,,
4192.513574,,
4193.852603,,
4197.434637,,
4215.924532,,
4248.717293,,
4253.774641,,
4269.789558,,
4271.619565,,
4271.667099,,
4271.730892,,
4274.175942,,
4277.085457,,
4289.384024,,
4292.877513,,
4295.503586,,
4299.121451,,
4307.353117,,
4307.600625,,
4317.167178,,
4322.285419,,
4328.042728,,
4337.974951,,
4347.075692,,
4352.299564,,
4372.323492,,
4372.743531,,
4372.802457,,
4377.517228,,
4379.22141,,
4379.980711,,
4412.498417,,
4420.904064,,
4421.126821,,
4438.79704,,
4447.034816,,
4447.078518,,
4450.095529,,
4453.718261,,
4458.331441,,
4464.00673,,
4486.491242,,
4487.562983,,
4491.32314,,
4496.633795,,
4516.864222,,
4521.980392,,
4552.849735,,
4563.128987,,
4571.108174,,
4574.22543,,
4576.287204,,
4592.449177,,
4598.312117,,
4601.30272,,
4606.249155,,
4621.632875,,
4622.044836,,
4630.924787,,
4636.590135,,
4638.340298,,
4638.373851,,
4643.280312,,
4664.33228,,
4666.370649,,
4668.756359,,
4672.47302,,
4675.915869,,
4679.380362,,
4679.414122,,
4719.361837,,
4719.649008,,
4719.91205,,
4725.345113,,
4728.871846,,
4733.929194,,
4742.509442,,
4752.331374,,
4752.650545,,
4752.69839,,
4755.63421,,
4758.118819,,
4771.640635,,
4774.723096,,
4776.661323,,
4784.075798,,
4784.455448,,
4784.498633,,
4787.787799,,
4792.325379,,
4792.339981,,
4801.017576,,
4820.384831,,
4820.496469,,
4820.593194,,
4820.781259,,
4831.491216,,
4831.503954,,
4840.409277,,
4846.948567,,
4849.449125,,
4849.591002,,
4857.5007,,
4868.985597,,
4882.088824,,
4884.183219,,
4884.205692,,
4890.953034,,
4891.217319,,
4900.969037,,
4906.530204,,
4913.411241,,
4921.831904,,
4921.909781,,
4926.390922,,
4932.351933,,
4937.505902,,
4947.085918,,
4947.600404,,
4947.912119,,
4955.73607,,
4961.598389,,
4968.318391,,
4968.628656,,
4970.950676,,
4972.679609,,
4973.005408,,
5000.100303,,
5000.128264,,
5000.246322,,
5000.246529,,
5001.571992,,
5026.708155,,
5035.772857,,
5046.415087,,
5050.942311,,
5057.386223,,
5057.400514,,
5057.412216,,
5063.766237,,
5069.274796,,
5069.29499,,
5074.458487,,
5118.173089,,
5168.806735,,
5168.832832,,
5173.089559,,
5179.499399,,
5179.562156,,
5179.574583,,
5182.586726,,
5188.504036,,
5203.931458,,
5214.488768,,
5214.523357,,
5225.622597,,
5226.861277,,
5241.955029,,
5247.823355,,
5253.320832,,
5322.207325,,
5322.244814,,
5322.784879,,
5327.140815,,
5382.472042,,
5387.012109,,
5397.762248,,
5397.936021,,
5409.821695,,
5413.296337,,
5415.27547,,
5415.323625,,
5418.550862,,
5423.258799,,
5423.272573,,
5426.001583,,
5466.436547,,
5466.711188,,
5485.487633,,
5486.251284,,
5492.90449,,
5496.592051,,
5505.655821,,
5514.81383,,
5515.528911,,
5515.541235,,
5516.615255,,
5516.837908,,
5519.873042,,
5519.928343,,
5529.12788,,
5529.403349,,
5536.768426,,
5557.351578,,
5557.360584,,
5574.040253,,
5574.054648,,
5587.825422,,
5591.940478,,
5601.943122,,
5604.030268,,
5605.621777,,
5610.920523,,
5611.038788,,
5628.737486,,
5646.169517,,
5647.010838,,
5659.283515,,
5660.900396,,