Herbcaeous biomass consumed by zone,1,2,3,Total
AnnualSum,3.2223446e7,0.0,0.0,3.2223446e7
t1,3678.475620542641,0.0,0.0,3678.475620542641
t2,3678.475620542641,0.0,0.0,3678.475620542641
t3,3678.475620542641,0.0,0.0,3678.475620542641
t4,3678.475620542641,0.0,0.0,3678.475620542641
t5,3678.475620542641,0.0,0.0,3678.475620542641
t6,3678.475620542641,0.0,0.0,3678.475620542641
t7,3678.475620542641,0.0,0.0,3678.475620542641
t8,3678.475620542641,0.0,0.0,3678.475620542641
t9,3678.475620542641,0.0,0.0,3678.475620542641
t10,3678.475620542641,0.0,0.0,3678.475620542641
t11,3678.475620542641,0.0,0.0,3678.475620542641
t12,3678.475620542641,0.0,0.0,3678.475620542641
t13,3678.475620542641,0.0,0.0,3678.475620542641
t14,3678.475620542641,0.0,0.0,3678.475620542641
t15,3678.475620542641,0.0,0.0,3678.475620542641
t16,3678.475620542641,0.0,0.0,3678.475620542641
t17,3678.475620542641,0.0,0.0,3678.475620542641
t18,3678.475620542641,0.0,0.0,3678.475620542641
t19,3678.475620542641,0.0,0.0,3678.475620542641
t20,3678.475620542641,0.0,0.0,3678.475620542641
t21,3678.475620542641,0.0,0.0,3678.475620542641
t22,3678.475620542641,0.0,0.0,3678.475620542641
t23,3678.475620542641,0.0,0.0,3678.475620542641
t24,3678.475620542641,0.0,0.0,3678.475620542641
t25,3678.475620542641,0.0,0.0,3678.475620542641
t26,3678.475620542641,0.0,0.0,3678.475620542641
t27,3678.475620542641,0.0,0.0,3678.475620542641
t28,3678.475620542641,0.0,0.0,3678.475620542641
t29,3678.475620542641,0.0,0.0,3678.475620542641
t30,3678.475620542641,0.0,0.0,3678.475620542641
t31,3678.475620542641,0.0,0.0,3678.475620542641
t32,3678.475620542641,0.0,0.0,3678.475620542641
t33,3678.475620542641,0.0,0.0,3678.475620542641
t34,3678.475620542641,0.0,0.0,3678.475620542641
t35,3678.475620542641,0.0,0.0,3678.475620542641
t36,3678.475620542641,0.0,0.0,3678.475620542641
t37,3678.475620542641,0.0,0.0,3678.475620542641
t38,3678.475620542641,0.0,0.0,3678.475620542641
t39,3678.475620542641,0.0,0.0,3678.475620542641
t40,3678.475620542641,0.0,0.0,3678.475620542641
t41,3678.475620542641,0.0,0.0,3678.475620542641
t42,3678.475620542641,0.0,0.0,3678.475620542641
t43,3678.475620542641,0.0,0.0,3678.475620542641
t44,3678.475620542641,0.0,0.0,3678.475620542641
t45,3678.475620542641,0.0,0.0,3678.475620542641
t46,3678.475620542641,0.0,0.0,3678.475620542641
t47,3678.475620542641,0.0,0.0,3678.475620542641
t48,3678.475620542641,0.0,0.0,3678.475620542641
t49,3678.475620542641,0.0,0.0,3678.475620542641
t50,3678.475620542641,0.0,0.0,3678.475620542641
t51,3678.475620542641,0.0,0.0,3678.475620542641
t52,3678.475620542641,0.0,0.0,3678.475620542641
t53,3678.475620542641,0.0,0.0,3678.475620542641
t54,3678.475620542641,0.0,0.0,3678.475620542641
t55,3678.475620542641,0.0,0.0,3678.475620542641
t56,3678.475620542641,0.0,0.0,3678.475620542641
t57,3678.475620542641,0.0,0.0,3678.475620542641
t58,3678.475620542641,0.0,0.0,3678.475620542641
t59,3678.475620542641,0.0,0.0,3678.475620542641
t60,3678.475620542641,0.0,0.0,3678.475620542641
t61,3678.475620542641,0.0,0.0,3678.475620542641
t62,3678.475620542641,0.0,0.0,3678.475620542641
t63,3678.475620542641,0.0,0.0,3678.475620542641
t64,3678.475620542641,0.0,0.0,3678.475620542641
t65,3678.475620542641,0.0,0.0,3678.475620542641
t66,3678.475620542641,0.0,0.0,3678.475620542641
t67,3678.475620542641,0.0,0.0,3678.475620542641
t68,3678.475620542641,0.0,0.0,3678.475620542641
t69,3678.475620542641,0.0,0.0,3678.475620542641
t70,3678.475620542641,0.0,0.0,3678.475620542641
t71,3678.475620542641,0.0,0.0,3678.475620542641
t72,3678.475620542641,0.0,0.0,3678.475620542641
t73,3678.475620542641,0.0,0.0,3678.475620542641
t74,3678.475620542641,0.0,0.0,3678.475620542641
t75,3678.475620542641,0.0,0.0,3678.475620542641
t76,3678.475620542641,0.0,0.0,3678.475620542641
t77,3678.475620542641,0.0,0.0,3678.475620542641
t78,3678.475620542641,0.0,0.0,3678.475620542641
t79,3678.475620542641,0.0,0.0,3678.475620542641
t80,3678.475620542641,0.0,0.0,3678.475620542641
t81,3678.475620542641,0.0,0.0,3678.475620542641
t82,3678.475620542641,0.0,0.0,3678.475620542641
t83,3678.475620542641,0.0,0.0,3678.475620542641
t84,3678.475620542641,0.0,0.0,3678.475620542641
t85,3678.475620542641,0.0,0.0,3678.475620542641
t86,3678.475620542641,0.0,0.0,3678.475620542641
t87,3678.475620542641,0.0,0.0,3678.475620542641
t88,3678.475620542641,0.0,0.0,3678.475620542641
t89,3678.475620542641,0.0,0.0,3678.475620542641
t90,3678.475620542641,0.0,0.0,3678.475620542641
t91,3678.475620542641,0.0,0.0,3678.475620542641
t92,3678.475620542641,0.0,0.0,3678.475620542641
t93,3678.475620542641,0.0,0.0,3678.475620542641
t94,3678.475620542641,0.0,0.0,3678.475620542641
t95,3678.475620542641,0.0,0.0,3678.475620542641
t96,3678.475620542641,0.0,0.0,3678.475620542641
t97,3678.475620542641,0.0,0.0,3678.475620542641
t98,3678.475620542641,0.0,0.0,3678.475620542641
t99,3678.475620542641,0.0,0.0,3678.475620542641
t100,3678.475620542641,0.0,0.0,3678.475620542641
t101,3678.475620542641,0.0,0.0,3678.475620542641
t102,3678.475620542641,0.0,0.0,3678.475620542641
t103,3678.475620542641,0.0,0.0,3678.475620542641
t104,3678.475620542641,0.0,0.0,3678.475620542641
t105,3678.475620542641,0.0,0.0,3678.475620542641
t106,3678.475620542641,0.0,0.0,3678.475620542641
t107,3678.475620542641,0.0,0.0,3678.475620542641
t108,3678.475620542641,0.0,0.0,3678.475620542641
t109,3678.475620542641,0.0,0.0,3678.475620542641
t110,3678.475620542641,0.0,0.0,3678.475620542641
t111,3678.475620542641,0.0,0.0,3678.475620542641
t112,3678.475620542641,0.0,0.0,3678.475620542641
t113,3678.475620542641,0.0,0.0,3678.475620542641
t114,3678.475620542641,0.0,0.0,3678.475620542641
t115,3678.475620542641,0.0,0.0,3678.475620542641
t116,3678.475620542641,0.0,0.0,3678.475620542641
t117,3678.475620542641,0.0,0.0,3678.475620542641
t118,3678.475620542641,0.0,0.0,3678.475620542641
t119,3678.475620542641,0.0,0.0,3678.475620542641
t120,3678.475620542641,0.0,0.0,3678.475620542641
t121,3678.475620542641,0.0,0.0,3678.475620542641
t122,3678.475620542641,0.0,0.0,3678.475620542641
t123,3678.475620542641,0.0,0.0,3678.475620542641
t124,3678.475620542641,0.0,0.0,3678.475620542641
t125,3678.475620542641,0.0,0.0,3678.475620542641
t126,3678.475620542641,0.0,0.0,3678.475620542641
t127,3678.475620542641,0.0,0.0,3678.475620542641
t128,3678.475620542641,0.0,0.0,3678.475620542641
t129,3678.475620542641,0.0,0.0,3678.475620542641
t130,3678.475620542641,0.0,0.0,3678.475620542641
t131,3678.475620542641,0.0,0.0,3678.475620542641
t132,3678.475620542641,0.0,0.0,3678.475620542641
t133,3678.475620542641,0.0,0.0,3678.475620542641
t134,3678.475620542641,0.0,0.0,3678.475620542641
t135,3678.475620542641,0.0,0.0,3678.475620542641
t136,3678.475620542641,0.0,0.0,3678.475620542641
t137,3678.475620542641,0.0,0.0,3678.475620542641
t138,3678.475620542641,0.0,0.0,3678.475620542641
t139,3678.475620542641,0.0,0.0,3678.475620542641
t140,3678.475620542641,0.0,0.0,3678.475620542641
t141,3678.475620542641,0.0,0.0,3678.475620542641
t142,3678.475620542641,0.0,0.0,3678.475620542641
t143,3678.475620542641,0.0,0.0,3678.475620542641
t144,3678.475620542641,0.0,0.0,3678.475620542641
t145,3678.475620542641,0.0,0.0,3678.475620542641
t146,3678.475620542641,0.0,0.0,3678.475620542641
t147,3678.475620542641,0.0,0.0,3678.475620542641
t148,3678.475620542641,0.0,0.0,3678.475620542641
t149,3678.475620542641,0.0,0.0,3678.475620542641
t150,3678.475620542641,0.0,0.0,3678.475620542641
t151,3678.475620542641,0.0,0.0,3678.475620542641
t152,3678.475620542641,0.0,0.0,3678.475620542641
t153,3678.475620542641,0.0,0.0,3678.475620542641
t154,3678.475620542641,0.0,0.0,3678.475620542641
t155,3678.475620542641,0.0,0.0,3678.475620542641
t156,3678.475620542641,0.0,0.0,3678.475620542641
t157,3678.475620542641,0.0,0.0,3678.475620542641
t158,3678.475620542641,0.0,0.0,3678.475620542641
t159,3678.475620542641,0.0,0.0,3678.475620542641
t160,3678.475620542641,0.0,0.0,3678.475620542641
t161,3678.475620542641,0.0,0.0,3678.475620542641
t162,3678.475620542641,0.0,0.0,3678.475620542641
t163,3678.475620542641,0.0,0.0,3678.475620542641
t164,3678.475620542641,0.0,0.0,3678.475620542641
t165,3678.475620542641,0.0,0.0,3678.475620542641
t166,3678.475620542641,0.0,0.0,3678.475620542641
t167,3678.475620542641,0.0,0.0,3678.475620542641
t168,3678.475620542641,0.0,0.0,3678.475620542641
