,Power CCS,H2 CCS,DAC Capture,Biorefinery Capture,CO2 Pipeline Import,CO2 Storage,Power CCS,H2 CCS,DAC Capture,Biorefinery Capture,CO2 Pipeline Import,CO2 Storage,Power CCS,H2 CCS,DAC Capture,Biorefinery Capture,CO2 Pipeline Import,CO2 Storage
Zone,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3
AnnualSum,0.0,2.518487155606508e7,0.0,5.026857644008751e7,7.12328612179257e7,-1.4668630921407813e8,0.0,5.6824701653614976e7,0.0,0.0,-4.385990165361509e7,-1.2964799999999877e7,0.0,2.7380208542252544e7,0.0,0.0,-2.7380208542252544e7,0.0
t1,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t2,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t3,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t4,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t5,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t6,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t7,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t8,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t9,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t10,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t11,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t12,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t13,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t14,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t15,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t16,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t17,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t18,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t19,0.0,1481.140345301325,0.0,5738.42196804652,8180.297408341888,-15399.859721689732,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t20,0.0,807.0850748477645,0.0,5738.42196804652,8180.297408341888,-14725.804451236172,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t21,0.0,2288.2254201490896,0.0,5738.42196804652,8180.297408341888,-16206.944796537498,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t22,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t23,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t24,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t25,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t26,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t27,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t28,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t29,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t30,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t31,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t32,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t33,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t34,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t35,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t36,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t37,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t38,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t39,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t40,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t41,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t42,0.0,1481.140345301325,0.0,5738.42196804652,8180.297408341888,-15399.859721689732,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t43,0.0,0.0,0.0,5738.42196804652,8180.297408341888,-13918.719376388408,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t44,0.0,0.0,0.0,5738.42196804652,8180.297408341888,-13918.719376388408,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t45,0.0,1481.140345301325,0.0,5738.42196804652,8180.297408341888,-15399.859721689732,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t46,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t47,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t48,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t49,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t50,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t51,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t52,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t53,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t54,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t55,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t56,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t57,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t58,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t59,0.0,2962.2806906026517,0.0,5738.42196804652,8180.297408341888,-16881.00006699106,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t60,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t61,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t62,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t63,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t64,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t65,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t66,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t67,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t68,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t69,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t70,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t71,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t72,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t73,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t74,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t75,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t76,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t77,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t78,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t79,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t80,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t81,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
t82,0.0,2962.28069060265,0.0,5738.42196804652,8180.297408341888,-16881.000066991055,0.0,6486.838088312207,0.0,0.0,-5052.647427101568,-1434.1906612106393,0.0,3128.4812817318907,0.0,0.0,-3128.4812817318907,-0.0
