region,Resource,zone,Cluster,R_ID,SubsidyRevenue
MIDAT,MIDAT_conventional_hydroelectric_1,2,1,1,0.0
MIDAT,MIDAT_hydroelectric_pumped_storage_1,2,1,2,0.0
MIDAT,MIDAT_natural_gas_fired_combined_cycle_1,2,1,3,0.0
MIDAT,MIDAT_natural_gas_fired_combined_cycle_2,2,2,4,0.0
MIDAT,MIDAT_natural_gas_fired_combined_cycle_3,2,3,5,0.0
MIDAT,MIDAT_natural_gas_fired_combined_cycle_4,2,4,6,0.0
MIDAT,MIDAT_natural_gas_fired_combustion_turbine_1,2,1,7,0.0
MIDAT,MIDAT_natural_gas_fired_combustion_turbine_2,2,2,8,0.0
MIDAT,MIDAT_onshore_wind_turbine_1,2,1,9,0.0
MIDAT,MIDAT_small_hydroelectric_1,2,1,10,0.0
MIDAT,MIDAT_solar_photovoltaic_1,2,1,11,0.0
NE,NE_conventional_hydroelectric_1,3,1,12,0.0
NE,NE_hydroelectric_pumped_storage_1,3,1,13,0.0
NE,NE_natural_gas_fired_combined_cycle_1,3,1,14,0.0
NE,NE_natural_gas_fired_combined_cycle_2,3,2,15,0.0
NE,NE_natural_gas_fired_combined_cycle_3,3,3,16,0.0
NE,NE_natural_gas_fired_combined_cycle_4,3,4,17,0.0
NE,NE_natural_gas_fired_combustion_turbine_1,3,1,18,0.0
NE,NE_natural_gas_fired_combustion_turbine_2,3,2,19,0.0
NE,NE_nuclear_1,3,1,20,0.0
NE,NE_onshore_wind_turbine_1,3,1,21,0.0
NE,NE_small_hydroelectric_1,3,1,22,0.0
NE,NE_solar_photovoltaic_1,3,1,23,0.0
SE,SE_conventional_hydroelectric_1,1,1,24,0.0
SE,SE_hydroelectric_pumped_storage_1,1,1,25,0.0
SE,SE_natural_gas_fired_combined_cycle_1,1,1,26,0.0
SE,SE_natural_gas_fired_combined_cycle_2,1,2,27,0.0
SE,SE_natural_gas_fired_combined_cycle_3,1,3,28,0.0
SE,SE_natural_gas_fired_combined_cycle_4,1,4,29,0.0
SE,SE_natural_gas_fired_combustion_turbine_1,1,1,30,0.0
SE,SE_natural_gas_fired_combustion_turbine_2,1,2,31,0.0
SE,SE_nuclear_1,1,1,32,0.0
SE,SE_nuclear_2,1,2,33,0.0
SE,SE_small_hydroelectric_1,1,1,34,0.0
SE,SE_solar_photovoltaic_1,1,1,35,0.0
SE,SE_naturalgas_ccccsavgcf_conservative_0,1,0,36,0.0
SE,SE_naturalgas_ccavgcf_moderate_0,1,0,37,0.0
SE,SE_naturalgas_ctavgcf_moderate_0,1,0,38,0.0
SE,SE_battery_moderate_0,1,0,39,0.0
SE,SE_nuclear_mid_0,1,0,40,0.0
SE,SE_naturalgas_ccs100_moderate_0,1,0,41,0.0
MIDAT,MIDAT_naturalgas_ccccsavgcf_conservative_0,2,0,42,0.0
MIDAT,MIDAT_naturalgas_ccavgcf_moderate_0,2,0,43,0.0
MIDAT,MIDAT_naturalgas_ctavgcf_moderate_0,2,0,44,0.0
MIDAT,MIDAT_battery_moderate_0,2,0,45,0.0
MIDAT,MIDAT_nuclear_mid_0,2,0,46,0.0
MIDAT,MIDAT_naturalgas_ccs100_moderate_0,2,0,47,0.0
NE,NE_naturalgas_ccccsavgcf_conservative_0,3,0,48,0.0
NE,NE_naturalgas_ccavgcf_moderate_0,3,0,49,0.0
NE,NE_naturalgas_ctavgcf_moderate_0,3,0,50,0.0
NE,NE_battery_moderate_0,3,0,51,0.0
NE,NE_nuclear_mid_0,3,0,52,0.0
NE,NE_naturalgas_ccs100_moderate_0,3,0,53,0.0
NE,NE_offshorewind_class10_moderate_floating_1_250_1,3,1,54,0.0
SE,SE_offshorewind_class10_moderate_floating_1_250_1,1,1,55,0.0
SE,SE_utilitypv_class1_moderate_70_0_2_1,1,1,56,0.0
SE,SE_utilitypv_class1_moderate_70_0_2_2,1,2,57,0.0
SE,SE_utilitypv_class1_moderate_70_0_2_3,1,3,58,0.0
SE,SE_utilitypv_class1_moderate_70_0_2_4,1,4,59,0.0
SE,SE_utilitypv_class1_moderate_70_0_2_5,1,5,60,0.0
SE,SE_utilitypv_class1_moderate_70_0_2_6,1,6,61,0.0
SE,SE_utilitypv_class1_moderate_70_0_2_7,1,7,62,0.0
SE,SE_utilitypv_class1_moderate_70_0_2_8,1,8,63,0.0
MIDAT,MIDAT_utilitypv_class1_moderate_70_0_2_1,2,1,64,0.0
MIDAT,MIDAT_utilitypv_class1_moderate_70_0_2_2,2,2,65,0.0
MIDAT,MIDAT_utilitypv_class1_moderate_70_0_2_3,2,3,66,0.0
MIDAT,MIDAT_utilitypv_class1_moderate_70_0_2_4,2,4,67,0.0
MIDAT,MIDAT_utilitypv_class1_moderate_70_0_2_5,2,5,68,0.0
MIDAT,MIDAT_utilitypv_class1_moderate_70_0_2_6,2,6,69,0.0
MIDAT,MIDAT_utilitypv_class1_moderate_70_0_2_7,2,7,70,0.0
NE,NE_utilitypv_class1_moderate_70_0_2_1,3,1,71,0.0
NE,NE_utilitypv_class1_moderate_70_0_2_2,3,2,72,0.0
NE,NE_utilitypv_class1_moderate_70_0_2_3,3,3,73,0.0
NE,NE_utilitypv_class1_moderate_70_0_2_4,3,4,74,0.0
NE,NE_utilitypv_class1_moderate_70_0_2_5,3,5,75,0.0
NE,NE_utilitypv_class1_moderate_70_0_2_6,3,6,76,0.0
NE,NE_utilitypv_class1_moderate_70_0_2_7,3,7,77,0.0
SE,SE_landbasedwind_class4_moderate_70_1,1,1,78,0.0
SE,SE_landbasedwind_class4_moderate_70_2,1,2,79,0.0
SE,SE_landbasedwind_class4_moderate_70_3,1,3,80,0.0
SE,SE_landbasedwind_class4_moderate_70_4,1,4,81,0.0
SE,SE_landbasedwind_class4_moderate_70_5,1,5,82,0.0
SE,SE_landbasedwind_class4_moderate_70_6,1,6,83,0.0
SE,SE_landbasedwind_class4_moderate_70_7,1,7,84,0.0
SE,SE_landbasedwind_class4_moderate_70_8,1,8,85,0.0
MIDAT,MIDAT_landbasedwind_class4_moderate_70_1,2,1,86,0.0
MIDAT,MIDAT_landbasedwind_class4_moderate_70_2,2,2,87,0.0
MIDAT,MIDAT_landbasedwind_class4_moderate_70_3,2,3,88,0.0
MIDAT,MIDAT_landbasedwind_class4_moderate_70_4,2,4,89,0.0
MIDAT,MIDAT_landbasedwind_class4_moderate_70_5,2,5,90,0.0
MIDAT,MIDAT_landbasedwind_class4_moderate_70_6,2,6,91,0.0
MIDAT,MIDAT_landbasedwind_class4_moderate_70_7,2,7,92,0.0
NE,NE_landbasedwind_class4_moderate_70_1,3,1,93,0.0
NE,NE_landbasedwind_class4_moderate_70_2,3,2,94,0.0
NE,NE_landbasedwind_class4_moderate_70_3,3,3,95,0.0
NE,NE_landbasedwind_class4_moderate_70_4,3,4,96,0.0
NE,NE_landbasedwind_class4_moderate_70_5,3,5,97,0.0
NE,NE_landbasedwind_class4_moderate_70_6,3,6,98,0.0
NE,NE_landbasedwind_class4_moderate_70_7,3,7,99,0.0
