Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_Tonne,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_tonne_per_hr_z1,Load_H2_tonne_per_hr_z2,Load_H2_tonne_per_hr_z3
50000000,1,1,0,1,168,8760.0,1,811.0,773.0,406.0
,,,,,,,2,811.0,773.0,406.0
,,,,,,,3,811.0,773.0,406.0
,,,,,,,4,811.0,773.0,406.0
,,,,,,,5,811.0,773.0,406.0
,,,,,,,6,811.0,773.0,406.0
,,,,,,,7,811.0,773.0,406.0
,,,,,,,8,811.0,773.0,406.0
,,,,,,,9,811.0,773.0,406.0
,,,,,,,10,811.0,773.0,406.0
,,,,,,,11,811.0,773.0,406.0
,,,,,,,12,811.0,773.0,406.0
,,,,,,,13,811.0,773.0,406.0
,,,,,,,14,811.0,773.0,406.0
,,,,,,,15,811.0,773.0,406.0
,,,,,,,16,811.0,773.0,406.0
,,,,,,,17,811.0,773.0,406.0
,,,,,,,18,811.0,773.0,406.0
,,,,,,,19,811.0,773.0,406.0
,,,,,,,20,811.0,773.0,406.0
,,,,,,,21,811.0,773.0,406.0
,,,,,,,22,811.0,773.0,406.0
,,,,,,,23,811.0,773.0,406.0
,,,,,,,24,811.0,773.0,406.0
,,,,,,,25,811.0,773.0,406.0
,,,,,,,26,811.0,773.0,406.0
,,,,,,,27,811.0,773.0,406.0
,,,,,,,28,811.0,773.0,406.0
,,,,,,,29,811.0,773.0,406.0
,,,,,,,30,811.0,773.0,406.0
,,,,,,,31,811.0,773.0,406.0
,,,,,,,32,811.0,773.0,406.0
,,,,,,,33,811.0,773.0,406.0
,,,,,,,34,811.0,773.0,406.0
,,,,,,,35,811.0,773.0,406.0
,,,,,,,36,811.0,773.0,406.0
,,,,,,,37,811.0,773.0,406.0
,,,,,,,38,811.0,773.0,406.0
,,,,,,,39,811.0,773.0,406.0
,,,,,,,40,811.0,773.0,406.0
,,,,,,,41,811.0,773.0,406.0
,,,,,,,42,811.0,773.0,406.0
,,,,,,,43,811.0,773.0,406.0
,,,,,,,44,811.0,773.0,406.0
,,,,,,,45,811.0,773.0,406.0
,,,,,,,46,811.0,773.0,406.0
,,,,,,,47,811.0,773.0,406.0
,,,,,,,48,811.0,773.0,406.0
,,,,,,,49,811.0,773.0,406.0
,,,,,,,50,811.0,773.0,406.0
,,,,,,,51,811.0,773.0,406.0
,,,,,,,52,811.0,773.0,406.0
,,,,,,,53,811.0,773.0,406.0
,,,,,,,54,811.0,773.0,406.0
,,,,,,,55,811.0,773.0,406.0
,,,,,,,56,811.0,773.0,406.0
,,,,,,,57,811.0,773.0,406.0
,,,,,,,58,811.0,773.0,406.0
,,,,,,,59,811.0,773.0,406.0
,,,,,,,60,811.0,773.0,406.0
,,,,,,,61,811.0,773.0,406.0
,,,,,,,62,811.0,773.0,406.0
,,,,,,,63,811.0,773.0,406.0
,,,,,,,64,811.0,773.0,406.0
,,,,,,,65,811.0,773.0,406.0
,,,,,,,66,811.0,773.0,406.0
,,,,,,,67,811.0,773.0,406.0
,,,,,,,68,811.0,773.0,406.0
,,,,,,,69,811.0,773.0,406.0
,,,,,,,70,811.0,773.0,406.0
,,,,,,,71,811.0,773.0,406.0
,,,,,,,72,811.0,773.0,406.0
,,,,,,,73,811.0,773.0,406.0
,,,,,,,74,811.0,773.0,406.0
,,,,,,,75,811.0,773.0,406.0
,,,,,,,76,811.0,773.0,406.0
,,,,,,,77,811.0,773.0,406.0
,,,,,,,78,811.0,773.0,406.0
,,,,,,,79,811.0,773.0,406.0
,,,,,,,80,811.0,773.0,406.0
,,,,,,,81,811.0,773.0,406.0
,,,,,,,82,811.0,773.0,406.0
,,,,,,,83,811.0,773.0,406.0
,,,,,,,84,811.0,773.0,406.0
,,,,,,,85,811.0,773.0,406.0
,,,,,,,86,811.0,773.0,406.0
,,,,,,,87,811.0,773.0,406.0
,,,,,,,88,811.0,773.0,406.0
,,,,,,,89,811.0,773.0,406.0
,,,,,,,90,811.0,773.0,406.0
,,,,,,,91,811.0,773.0,406.0
,,,,,,,92,811.0,773.0,406.0
,,,,,,,93,811.0,773.0,406.0
,,,,,,,94,811.0,773.0,406.0
,,,,,,,95,811.0,773.0,406.0
,,,,,,,96,811.0,773.0,406.0
,,,,,,,97,811.0,773.0,406.0
,,,,,,,98,811.0,773.0,406.0
,,,,,,,99,811.0,773.0,406.0
,,,,,,,100,811.0,773.0,406.0
,,,,,,,101,811.0,773.0,406.0
,,,,,,,102,811.0,773.0,406.0
,,,,,,,103,811.0,773.0,406.0
,,,,,,,104,811.0,773.0,406.0
,,,,,,,105,811.0,773.0,406.0
,,,,,,,106,811.0,773.0,406.0
,,,,,,,107,811.0,773.0,406.0
,,,,,,,108,811.0,773.0,406.0
,,,,,,,109,811.0,773.0,406.0
,,,,,,,110,811.0,773.0,406.0
,,,,,,,111,811.0,773.0,406.0
,,,,,,,112,811.0,773.0,406.0
,,,,,,,113,811.0,773.0,406.0
,,,,,,,114,811.0,773.0,406.0
,,,,,,,115,811.0,773.0,406.0
,,,,,,,116,811.0,773.0,406.0
,,,,,,,117,811.0,773.0,406.0
,,,,,,,118,811.0,773.0,406.0
,,,,,,,119,811.0,773.0,406.0
,,,,,,,120,811.0,773.0,406.0
,,,,,,,121,811.0,773.0,406.0
,,,,,,,122,811.0,773.0,406.0
,,,,,,,123,811.0,773.0,406.0
,,,,,,,124,811.0,773.0,406.0
,,,,,,,125,811.0,773.0,406.0
,,,,,,,126,811.0,773.0,406.0
,,,,,,,127,811.0,773.0,406.0
,,,,,,,128,811.0,773.0,406.0
,,,,,,,129,811.0,773.0,406.0
,,,,,,,130,811.0,773.0,406.0
,,,,,,,131,811.0,773.0,406.0
,,,,,,,132,811.0,773.0,406.0
,,,,,,,133,811.0,773.0,406.0
,,,,,,,134,811.0,773.0,406.0
,,,,,,,135,811.0,773.0,406.0
,,,,,,,136,811.0,773.0,406.0
,,,,,,,137,811.0,773.0,406.0
,,,,,,,138,811.0,773.0,406.0
,,,,,,,139,811.0,773.0,406.0
,,,,,,,140,811.0,773.0,406.0
,,,,,,,141,811.0,773.0,406.0
,,,,,,,142,811.0,773.0,406.0
,,,,,,,143,811.0,773.0,406.0
,,,,,,,144,811.0,773.0,406.0
,,,,,,,145,811.0,773.0,406.0
,,,,,,,146,811.0,773.0,406.0
,,,,,,,147,811.0,773.0,406.0
,,,,,,,148,811.0,773.0,406.0
,,,,,,,149,811.0,773.0,406.0
,,,,,,,150,811.0,773.0,406.0
,,,,,,,151,811.0,773.0,406.0
,,,,,,,152,811.0,773.0,406.0
,,,,,,,153,811.0,773.0,406.0
,,,,,,,154,811.0,773.0,406.0
,,,,,,,155,811.0,773.0,406.0
,,,,,,,156,811.0,773.0,406.0
,,,,,,,157,811.0,773.0,406.0
,,,,,,,158,811.0,773.0,406.0
,,,,,,,159,811.0,773.0,406.0
,,,,,,,160,811.0,773.0,406.0
,,,,,,,161,811.0,773.0,406.0
,,,,,,,162,811.0,773.0,406.0
,,,,,,,163,811.0,773.0,406.0
,,,,,,,164,811.0,773.0,406.0
,,,,,,,165,811.0,773.0,406.0
,,,,,,,166,811.0,773.0,406.0
,,,,,,,167,811.0,773.0,406.0
,,,,,,,168,811.0,773.0,406.0
